,business,brand,name,address,postal_code,sortation,city,phone
142,Bubble Tea,Real Fruit Bubble Tea,,"2301 Brimley Rd Scarborough, ON M1S 3L6",M1S 3L6,M1S,,
133,Bubble Tea,Coco,Steeles & Middlefield,"9-5651 Steeles Ave E, Scarborough, ON M1V 5P6",M1V 5P6,M1V,,(416) 293-2666
137,Bubble Tea,Coco,Woodside Square Mall,"105A-1571 Sandhurst Circle, Scarborough, ON M1V 1V2",M1V 1V2,M1V,,(416) 792-3299
110,Bubble Tea,Coco,Midland & Finch,"3300 Midland Ave, Unit 36, Scarborough, ON M1V 4A1",M1V 4A1,M1V,,(416) 546-2996
145,Bubble Tea,Real Fruit Bubble Tea,,"1800 Sheppard Ave E North York, ON M2J 5A7",M2J 5A7,M2J,,
152,Bubble Tea,Real Fruit Bubble Tea,,"6464 Yonge St North York, ON M2M 3X4",M2M 3X4,M2M,,
156,Bubble Tea,Real Fruit Bubble Tea,,"4841 Yonge St North York, ON M2N 5X2",M2N 5X2,M2N,,
153,Bubble Tea,Real Fruit Bubble Tea,,"5095 Yonge St North York, ON M2N 6Z4",M2N 6Z4,M2N,,
139,Bubble Tea,Coco,Yonge & Finch,"17B Finch Ave W, North York, ON M2N 7K4",M2N 7K4,M2N,,(416) 221-4135
85,Bubble Tea,Coco,808 York Mills,"808 York Mills Rd., Unit 31, North York, ON M3B 1X8",M3B 1X8,M3B,,(647) 344-2626
154,Bubble Tea,Real Fruit Bubble Tea,,"47 Clock Tower Rd North York, ON M3C 0G4",M3C 0G4,M3C,,
95,Bubble Tea,Coco,Don Mill & Eglinton,"890 Don Mills Rd, Unit 130 & 132, North York, ON M3C 1V6",M3C 1V6,M3C,,(416) 447-8828
159,Bubble Tea,Real Fruit Bubble Tea,,"2181 Steeles Ave W North York, ON M3J 3N2",M3J 3N2,M3J,,
103,Bubble Tea,Coco,Keele & Steeles W,"4205 Keele St, Unit 12, North York, ON M3J 3T8",M3J 3T8,M3J,,(416) 551-2625
150,Bubble Tea,Real Fruit Bubble Tea,,"1448 Lawrence Ave E North York, ON M4A 2V6",M4A 2V6,M4A,,
161,Bubble Tea,Real Fruit Bubble Tea,,"3003 Danforth Ave Toronto, ON M4C 1M4",M4C 1M4,M4C,,
158,Bubble Tea,Real Fruit Bubble Tea,,"45 Overlea Blvd Toronto, ON M4H 1C3",M4H 1C3,M4H,,
166,Bubble Tea,Real Fruit Bubble Tea,,"1000 Gerrard St E Toronto, ON M4M 3G6",M4M 3G6,M4M,,
74,Bubble Tea,Coco,1021 Gerrard St. E,"1021 Gerrard Street East, Toronto, ON M4M 1Z6",M4M 1Z6,M4M,,(416) 900-2236
160,Bubble Tea,Real Fruit Bubble Tea,,"2300 Yonge St unit s1a Toronto, ON M4P 1E4",M4P 1E4,M4P,,
138,Bubble Tea,Coco,Yonge & Eglinton,"2352 Yonge St, Toronto, ON M4P 2E6",M4P 2E6,M4P,,(647) 348-1354
84,Bubble Tea,Coco,648 Yonge,"648 Yonge St, Toronto, ON M4Y 2A6",M4Y 2A6,M4Y,,(647) 348-8181
80,Bubble Tea,Coco,372 Yonge St,"372 Yonge St, Toronto, ON M5B 1S6",M5B 1S6,M5B,,(416) 348-0888
171,Bubble Tea,Real Fruit Bubble Tea,,"220 Yonge St Toronto, ON M5B 2H1",M5B 2H1,M5B,,
169,Bubble Tea,Real Fruit Bubble Tea,,"610 University Ave Toronto, ON M5G 2C4",M5G 2C4,M5G,,
168,Bubble Tea,Real Fruit Bubble Tea,,"444 Yonge St Toronto, ON M5G 2B3",M5G 2B3,M5G,,
93,Bubble Tea,Coco,China Town,"371 Spadina Ave, Toronto, ON M5T 2G3",M5T 2G3,M5T,,(647) 341-2996
172,Bubble Tea,Real Fruit Bubble Tea,,"223 Queen St W Toronto, ON M5V 1Z4",M5V 1Z4,M5V,,
79,Bubble Tea,Coco,352 Queen St W,"352 Queen St W, Toronto, ON M5V 2A2",M5V 2A2,M5V,,(416) 977-9090
164,Bubble Tea,Real Fruit Bubble Tea,,"700 Lawrence Ave W North York, ON M6A 3B4",M6A 3B4,M6A,,
163,Bubble Tea,Real Fruit Bubble Tea,,"3401 Dufferin St North York, ON M6A 2T9",M6A 2T9,M6A,,
170,Bubble Tea,Real Fruit Bubble Tea,,"660 Bloor St W Toronto, ON M6G 1K9",M6G 1K9,M6G,,
173,Bubble Tea,Real Fruit Bubble Tea,,"900 Dufferin St Toronto, ON M6H 4A9",M6H 4A9,M6H,,
96,Bubble Tea,Coco,Dufferin Station,"1011 Dufferin St, Toronto, ON M6H 4B5",M6H 4B5,M6H,,
102,Bubble Tea,Coco,Humber College,"3180 Lake Shore Blvd West Unit 6, Etobicoke, ON M8V 1L7",M8V 1L7,M8V,,(416) 255-2626
177,Bubble Tea,Real Fruit Bubble Tea,,"3300 Bloor St W Etobicoke, ON M8X 2X4",M8X 2X4,M8X,,
81,Bubble Tea,Coco,4868 Dundas St W,4868 Dundas St W Etobicoke ON M9A 1B5,M9A 1B5,M9A,,(416) 231-7888
179,Bubble Tea,Real Fruit Bubble Tea,,"25 The West Mall unit 1055 Etobicoke, ON M9C 1B8",M9C 1B8,M9C,,
131,Bubble Tea,Coco,Sherway Gardens,"25 The West Mall, Etobicoke, ON M9C 1B8",M9C 1B8,M9C,,(416) 695-7275
175,Bubble Tea,Real Fruit Bubble Tea,,"1530 Albion Rd Etobicoke, ON M9V 1B4",M9V 1B4,M9V,,
176,Bubble Tea,Real Fruit Bubble Tea,,"500 Rexdale Blvd Toronto, ON M9W 6K5",M9W 6K5,M9W,,
204,Bubble Tea,Real Fruit Bubble Tea,,"435 Stone Rd W Guelph, ON N1G 2X6",N1G 2X6,N1G,,
99,Bubble Tea,Coco,Guelph,1219 Gordon St Guelph ON N1L 0M9,N1L 0M9,N1L,,(519) 836-1888
205,Bubble Tea,Real Fruit Bubble Tea,,"355 Hespeler Rd Cambridge, ON N1R 8J9",N1R 8J9,N1R,,
206,Bubble Tea,Real Fruit Bubble Tea,,"2960 Kingsway Dr Kitchener, ON N2C 2J7",N2C 2J7,N2C,,
207,Bubble Tea,Real Fruit Bubble Tea,,"550 King St N Waterloo, ON N2L 5W6",N2L 5W6,N2L,,
136,Bubble Tea,Coco,Waterloo,"203 Lester St, Unit 3, Waterloo, ON N2L 3W4",N2L 3W4,N2L,,(519) 725-8885
208,Bubble Tea,Real Fruit Bubble Tea,,"1105 Wellington Rd London, ON N6E 1V4",N6E 1V4,N6E,,
105,Bubble Tea,Coco,London,"654 Wonderland Rd N, London, ON N6H 3E5",N6H 3E5,N6H,,(519) 473-8882
209,Bubble Tea,Real Fruit Bubble Tea,,"775 Wonderland Rd S b London, ON N6K 2Y5",N6K 2Y5,N6K,,
218,Bubble Tea,Real Fruit Bubble Tea,,"3100 Howard Ave unit b14 Windsor, ON N8X 3Y4",N8X 3Y4,N8X,,
107,Bubble Tea,Coco,MCity,"3911 Quartz Rd Unit B , Mississauga ON ",UGA ON ,UGA,,(647) 746-4610
243,Bubble Tea,Real Fruit Bubble Tea,,"601 W Cordova St unit 40b Vancouver, BC V6B 1G1",V6B 1G1,V6B,,
244,Bubble Tea,Real Fruit Bubble Tea,,"6551 No. 3 Rd Richmond, BC V6Y 2B6",V6Y 2B6,V6Y,,
